X3,Y3,Z3
-1744.07251,907.385498,-746.0303345
-1740.97229,913.0578003,-746.0789795
-1737.900513,918.6914063,-746.1239624
-1734.851929,924.284729,-746.1655273
-1731.81311,929.8380127,-746.2076416
-1728.775513,935.350647,-746.2518921
-1725.738525,940.819397,-746.2966919
-1722.710449,946.2375488,-746.3377686
-1719.704468,951.595459,-746.3704834
-1716.728394,956.8828735,-746.3948975
-1713.775757,962.0905762,-746.4199829
-1710.831787,967.2090454,-746.4596558
-1707.883667,972.2270508,-746.5258179
-1704.922485,977.1325073,-746.6255493
-1701.943115,981.9143066,-746.7589722
-1698.94458,986.5639038,-746.9196167
-1695.932129,991.0762939,-747.0947266
-1692.918335,995.449707,-747.2675781
-1689.919434,999.6846313,-747.4215088
-1686.946411,1003.782227,-747.5466309
-1684.001221,1007.742981,-747.6418457
-1681.078979,1011.564819,-747.7139282
-1678.175415,1015.243469,-747.7729492
-1675.291992,1018.771729,-747.8283691
-1672.432739,1022.141052,-747.888855
-1669.599243,1025.342773,-747.9622192
-1666.789673,1028.370239,-748.0544434
-1664.002319,1031.220215,-748.1679688
-1661.238159,1033.894897,-748.3009033
-1658.500488,1036.39917,-748.4487915
-1655.793335,1038.740845,-748.6065063
